ID,lat,lon,geometry
1809,56.134942,-3.209294,POINT (-3.209294 56.134942)
1810,55.86566,-3.20117,POINT (-3.20117 55.86566)
1811,55.86614,-3.19864,POINT (-3.19864 55.86614)
1812,55.85901,-3.20079,POINT (-3.20079 55.85901)
1813,55.86629,-3.19916,POINT (-3.19916 55.86629)
1814,55.939947,-3.294411,POINT (-3.294411 55.939947)
1815,55.961315,-3.242395,POINT (-3.242395 55.961315)
1816,55.961208,-3.242742,POINT (-3.242742 55.961208)
1817,56.37607,-3.29918,POINT (-3.29918 56.37607)
1818,55.94198,-3.26997,POINT (-3.26997 55.94198)
1819,55.943245,-3.268752,POINT (-3.268752 55.943245)
1820,55.92457,-3.292182,POINT (-3.292182 55.92457)
1821,55.922829,-3.292041,POINT (-3.292041 55.922829)
1822,55.923215,-3.289178,POINT (-3.289178 55.923215)
1823,56.25291,-3.20556,POINT (-3.20556 56.25291)
1824,55.94143,-3.21645,POINT (-3.21645 55.94143)
1825,55.97057,-3.2475,POINT (-3.2475 55.97057)
1826,55.9309,-3.27628,POINT (-3.27628 55.9309)
1827,55.938251,-3.229916,POINT (-3.229916 55.938251)
1828,55.93787,-3.23394,POINT (-3.23394 55.93787)
1829,55.93891,-3.23117,POINT (-3.23117 55.93891)
1830,55.9339,-3.25094,POINT (-3.25094 55.9339)
1831,56.1461,-3.26166,POINT (-3.26166 56.1461)
1832,57.64323,-3.29017,POINT (-3.29017 57.64323)
1834,57.64633,-3.28451,POINT (-3.28451 57.64633)
1835,56.126392,-3.287828,POINT (-3.287828 56.126392)
1836,51.539279,-3.129363,POINT (-3.129363 51.539279)
1837,51.539299,-3.131,POINT (-3.131 51.539299)
1838,51.540685,-3.130466,POINT (-3.130466 51.540685)
1839,50.977712,-3.148403,POINT (-3.148403 50.977712)
1840,50.975793,-3.147263,POINT (-3.147263 50.975793)
1841,50.97553,-3.146362,POINT (-3.146362 50.97553)
1842,51.524218,-3.191813,POINT (-3.191813 51.524218)
1843,51.522985,-3.188668,POINT (-3.188668 51.522985)
1844,51.524008,-3.192721,POINT (-3.192721 51.524008)
1845,50.874488,-3.093202,POINT (-3.093202 50.874488)
1846,50.874003,-3.094172,POINT (-3.094172 50.874003)
1847,51.469728,-3.195366,POINT (-3.195366 51.469728)
1848,51.49655,-3.15663,POINT (-3.15663 51.49655)
1849,51.4946,-3.15485,POINT (-3.15485 51.4946)
1850,51.49677,-3.1645,POINT (-3.1645 51.49677)
1851,51.49265,-3.18381,POINT (-3.18381 51.49265)
1852,51.524775,-3.103756,POINT (-3.103756 51.524775)
1853,51.7953,-3.17875,POINT (-3.17875 51.7953)
